! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $
! Revision 1.4  2012-06-26 16:17:18-07  lli
! CHanged eror checker names from Tx to Rx
!,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
30.1042.7:4,TX Poly Dep Fuse trim,RW,,
30.1042.3:0,TX Poly Ind Fuse trim,RW,,
R30.288,25G Tx Lane 0 CYA ,16'h0000,,
30.288.15:8,Reserved,R,,
30.288.7:2,Reserved,RW,,
30.288.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.544,25G Tx Lane 1 CYA ,16'h0000,,
30.544.15:8,Reserved,R,,
30.544.7:2,Reserved,RW,,
30.544.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.800,25G Tx Lane 2 CYA ,16'h0000,,
30.800.15:8,Reserved,R,,
30.800.7:2,Reserved,RW,,
30.800.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.1056,25G Tx Lane 3 CYA ,16'h0000,,
30.1056.15:8,Reserved,R,,
30.1056.7:2,Reserved,RW,,
30.1056.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.384,25G Rx Lane 0 Main Control,16'h0000,,
30.384.15:3,Reserved,R,,
30.384.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.384.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.384.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.640,25G Rx Lane 1 Main Control,16'h0000,,
30.640.15:3,Reserved,R,,
30.640.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.640.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.640.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.896,25G Rx Lane 2 Main Control,16'h0000,,
30.896.15:3,Reserved,R,,
30.896.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.896.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.896.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.1152,25G Rx Lane 3 Main Control,16'h0000,,
30.1152.15:3,Reserved,R,,
30.1152.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.1152.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.1152.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.385,25G Rx0 1st Order CDR Cntl,16'h0102,,
30.385.15:11,Reserved,R,,
30.385.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.385.7,Reserved,R,,
30.385.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.641,25G Rx1 1st Order CDR Cntl,16'h0102,,
30.641.15:11,Reserved,R,,
30.641.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.641.7,Reserved,R,,
30.641.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.897,25G Rx2 1st Order CDR Cntl,16'h0102,,
30.897.15:11,Reserved,R,,
30.897.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.897.7,Reserved,R,,
30.897.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.1153,25G Rx3 1st Order CDR Cntl,16'h0102,,
30.1153.15:11,Reserved,R,,
30.1153.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.1153.7,Reserved,R,,
30.1153.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.386,25G Rx0 2nd Order CDR Cntl,16'h0201,,
30.386.15:11,Reserved,R,,
30.386.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.386.7:1,Reserved,R,,
30.386.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.642,25G Rx1 2nd Order CDR Cntl,16'h0201,,
30.642.15:11,Reserved,R,,
30.642.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.642.7:1,Reserved,R,,
30.642.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.898,25G Rx2 2nd Order CDR Cntl,16'h0201,,
30.898.15:11,Reserved,R,,
30.898.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.898.7:1,Reserved,R,,
30.898.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.1154,25G Rx3 2nd Order CDR Cntl,16'h0201,,
30.1154.15:11,Reserved,R,,
30.1154.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.1154.7:1,Reserved,R,,
30.1154.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.387,25G Rx Lane 0 Eq Control,16'h0405,,
30.387.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.387.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.387.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.387.7:3,Reserved,R,,
30.387.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.387.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.643,25G Rx Lane 1 Eq Control,16'h0405,,
30.643.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.643.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.643.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.643.7:3,Reserved,R,,
30.643.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.643.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.899,25G Rx Lane 2 Eq Control,16'h0405,,
30.899.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.899.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.899.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.899.7:3,Reserved,R,,
30.899.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.899.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.1155,25G Rx Lane 3 Eq Control,16'h0405,,
30.1155.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.1155.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.1155.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.1155.7:3,Reserved,R,,
30.1155.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.1155.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.388,25G Rx Lane 0 Misc Trim,16'h7577,,
30.388.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.388.11,Reserved,R,,
30.388.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.388.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.388.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.388.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.644,25G Rx Lane 1 Misc Trim,16'h7577,,
30.644.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.644.11,Reserved,R,,
30.644.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.644.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.644.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.644.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.900,25G Rx Lane 2 Misc Trim,16'h7577,,
30.900.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.900.11,Reserved,R,,
30.900.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.900.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.900.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.900.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.1156,25G Rx Lane 3 Misc Trim,16'h7577,,
30.1156.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.1156.11,Reserved,R,,
30.1156.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.1156.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.1156.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.1156.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.391,25G Rx Lane 0 Eye Scan Ctl 1,16'h0000,,
30.391.7:3,Eyescan sense amp offset correction[7:0],R,,This value is read only and represents the sense amp offset correction value for the sense amplifier that will be used for eyescan.
